capital ,gamma   ,Γ
capital ,delta   ,Δ
capital ,theta   ,Θ
capital ,lambda  ,Λ
capital ,xi      ,Ξ
capital ,pi      ,Π
capital ,sigma   ,Σ
capital ,phi     ,Φ
capital ,psi     ,Ψ
capital ,omega   ,Ω
small   ,alpha   ,α
small   ,beta    ,β
small   ,gamma   ,γ
small   ,delta   ,δ
small   ,epsilon ,ε
small   ,zeta    ,ζ
small   ,eta     ,η
small   ,theta   ,θ
small   ,iota    ,ι
small   ,kappa   ,κ
small   ,lamda   ,λ
small   ,mu      ,μ
small   ,nu      ,ν
small   ,xi      ,ξ
small   ,pi      ,π
small   ,rho     ,ρ
small   ,sigma   ,σ
small   ,tau     ,τ
small   ,upsilon ,υ
small   ,phi     ,φ
small   ,chi     ,χ
small   ,psi     ,ψ
small   ,omega   ,ω
